"route_id","service_id","trip_id","trip_headsign","direction_id","shape_id"
"1756-10","USD","1756-10-1","Pedra Branca",1,53031
"1757-10","USD","1757-10-0","Metrô Santana - Circular",0,53027
"1758-10","USD","1758-10-0","Metrô Santana",0,53038
"1758-10","USD","1758-10-1","Jd. Antartica",1,53039
"1758-51","USD","1758-51-0","Terminal Amaral Gurgel",0,53824
"1758-51","USD","1758-51-1","Jardim Antartica",1,53825
"1759-10","USD","1759-10-0","Metrô Santana",0,53043
"1759-10","USD","1759-10-1","Jd. Pery",1,53044
"175P-10","USD","175P-10-0","Ana Rosa",0,53234
"175P-10","USD","175P-10-1","Metrô Santana",1,53235
"175T-10","USD","175T-10-0","Metrô Jabaquara",0,52417
"175T-10","USD","175T-10-1","Metrô Santana",1,52418
"1760-10","USD","1760-10-0","Shop. Center Norte",0,52383
"1760-10","USD","1760-10-1","Cohab Antartica",1,52384
"1764-10","USD","1764-10-0","Metrô Santana",0,53087
"1764-10","USD","1764-10-1","Jd. Corisco",1,53088
"1765-10","USD","1765-10-0","Metrô Tucuruvi",0,53093
"1765-10","USD","1765-10-1","Jd. Cabuçu",1,53094
"1766-10","USD","1766-10-0","Metrô Santana",0,53095
"1767-10","USD","1767-10-0","Metrô Tucuruvi",0,53164
"1767-10","USD","1767-10-1","Edu Chaves",1,53165
"1767-51","USD","1767-51-0","Term. Bandeira",0,54749
"1771-10","USD","1771-10-0","Metrô Santana",0,53096
"1771-10","USD","1771-10-1","Vila Zilda",1,53097
"1771-21","USD","1771-21-0","Metrô Tucuruvi",0,50759
"1772-10","USD","1772-10-0","Metrô Tucuruvi",0,53167
"1772-10","USD","1772-10-1","Jd. Filhos Da Terra",1,53168
"1772-51","USD","1772-51-0","Lgo. Da Concordia",0,53880
"1773-10","USD","1773-10-0","Mandaqui",0,53419
"1773-10","USD","1773-10-1","Cem.pq.dos Pinheiros",1,53420
"1773-41","USD","1773-41-0","Metrô Tucuruvi",0,53406
"1775-10","USD","1775-10-0","Center Norte",0,52651
"1775-10","USD","1775-10-1","Vila Albertina",1,52652
"1778-10","USD","1778-10-0","Metrô Santana",0,52294
"1778-51","USD","1778-51-0","Pca. Do Correio",0,54611
"1778-51","USD","1778-51-1","Cem. Pq. Dos Pinheiros",1,54612
"177H-21","__D","177H-21-0","Pinheiros",0,54617
"177X-10","USD","177X-10-0","Metrô Vila Madalena",0,53388
"177X-10","USD","177X-10-1","Jd. Pery Alto",1,53389
"177Y-10","USD","177Y-10-0"," terminal Pinheiros",0,54620
"177Y-10","USD","177Y-10-1","Metrô Barra Funda",1,54621
"1780-10","USD","1780-10-0","Term. Parada Inglesa",0,53790
"1780-10","USD","1780-10-1","Jd. Hebron",1,53791
"1782-10","USD","1782-10-0","Metrô Santana - Circular",0,53258
"1782-31","USD","1782-31-0","Santana",0,53260
"1782-31","USD","1782-31-1","Vila Nova Galvao",1,53261
"1783-10","USD","1783-10-0","Metrô Santana",0,53529
"1783-10","USD","1783-10-1","Cachoeira",1,53530
"1783-21","USD","1783-21-0","Metrô Tucuruvi (circular)",0,53534
"1783-51","USD","1783-51-0","Cachoeira-dib",0,54655
"1783-52","USD","1783-52-0","Pca. Do Correio",0,54656
"1785-10","USD","1785-10-0","Metrô Santana",0,53326
"1785-10","USD","1785-10-1","Vila Aurora",1,53327
"1786-10","USD","1786-10-0","Metrô Santana",0,53331
"1786-10","USD","1786-10-1","Vila Albertina",1,53332
"1787-10","USD","1787-10-0","Metrô Santana",0,53546
"1787-10","USD","1787-10-1","Vila Marieta",1,53547
"1788-10","USD","1788-10-0","Metrô Santana",0,53107
"1788-10","USD","1788-10-1","Jd. Fontalis",1,53108
"178A-10","USD","178A-10-0","Lapa",0,53335
"178A-10","USD","178A-10-1","Metrô Santana",1,53336
"178L-10","USD","178L-10-0","Hosp. Das Clinicas",0,53423
"178L-10","USD","178L-10-1","Lauzane Paulista",1,53424
"178T-10","USD","178T-10-0","Ceasa",0,54931
"178T-10","USD","178T-10-1","Metrô Santana",1,54932
"178Y-10","USD","178Y-10-0","Metrô Jd. São Paulo",0,53447
"178Y-10","USD","178Y-10-1","Vila Amelia",1,53448
"179X-10","USD","179X-10-0","Metrô Barra Funda",0,53451
"179X-10","USD","179X-10-1","Jd. Fontalis",1,53452
"199D-10","USD","199D-10-0","Terminal Pinheiros",0,48877
"199D-10","USD","199D-10-1","Vila Iorio",1,48878
"2002-10","USD","2002-10-0","Circular Centro",0,50689
"2004-10","USD","2004-10-0","Est. Cptm Guaianazes",0,52380
"2004-10","USD","2004-10-1","Jd. Nsa. Sra. Do Caminho",1,53129
"2005-10","USD","2005-10-0","Sao Miguel (circ.)",0,52173
"2006-10","USD","2006-10-0","Est. Cptm Itaim Paulista",0,47277
"2006-10","USD","2006-10-1","Cidade Kemel I",1,47278
"2006-51","USD","2006-51-0","Cid. Kemel (circular)",0,54222
"2007-10","USD","2007-10-0","Sao Miguel",0,47732
"2007-10","USD","2007-10-1","Cidade Kemel Ii",1,47733
"2008-10","USD","2008-10-0","Estacao Itaim",0,52774
"2008-10","USD","2008-10-1","Jd. Nsa.sra. Caminho",1,52775
"2008-41","USD","2008-41-0","Itaim Paulista",0,52776
"2008-41","USD","2008-41-1","Jd. Miriam",1,52777
"2009-10","USD","2009-10-0","Guaianazes",0,52407
"2009-10","USD","2009-10-1","Jd. Robru",1,52409
"2010-10","USD","2010-10-0","Metrô Tietê (circular)",0,53565
"2010-31","USD","2010-31-0","Metrô Carandiru",0,53729
"2011-10","USD","2011-10-0","Metrô Santana",0,53570
"2011-10","USD","2011-10-1","Edu Chaves",1,53571
"2013-10","USD","2013-10-0","Cachoeirinha",0,54660
"2013-10","USD","2013-10-1","Cohab Antartica",1,54661
"2016-10","USD","2016-10-0","Sao Miguel",0,48732
"2016-10","USD","2016-10-1","Jd. Das Oliveiras",1,48733
"2017-10","USD","2017-10-0","Sao Miguel (circ.)",0,47373
"2018-10","USD","2018-10-0","Sao Miguel(circular)",0,54224
"2019-10","USD","2019-10-0","Shopping Penha",0,52419
"2019-10","USD","2019-10-1","Pq. Paineiras",1,52420
"2021-10","USD","2021-10-0","Estacao Guaianazes",0,52457
"2021-10","USD","2021-10-1","Jd. Bandeirantes",1,52458
"2022-10","USD","2022-10-0","Term. A.e. Carvalho",0,52459
"2022-10","USD","2022-10-1","Jd. Dos Ipes",1,52460
"2031-10","USD","2031-10-0","Term. A.e. Carvalho",0,52525
"2031-10","USD","2031-10-1","Cidade Kemel Ii",1,52526
"2059-10","USD","2059-10-0","Guaianazes",0,52554
"2059-10","USD","2059-10-1","Sao Miguel",1,52555
"2060-10","USD","2060-10-0","Metrô Artur Alvim",0,52556
"2076-10","USD","2076-10-0","Term. Penha",0,54247
"2076-10","USD","2076-10-1","Jd. Oliveiras",1,54246
"2080-10","USD","2080-10-0","Term. Aricanduva",0,54249
"2080-10","USD","2080-10-1","Cid. Kemel",1,54250
"2088-10","USD","2088-10-0","Term. A.e. Carvalho",0,47231
"2088-10","USD","2088-10-1","Conj. Encosta Norte",1,47232
"208V-10","USD","208V-10-0","Pq. D. Pedro Ii",0,50691
"208V-10","USD","208V-10-1","Term. A.e.carvalho",1,50692
"208V-11","USD","208V-11-0","Term. Pq. D. Pedro Ii",0,51367
"208V-11","USD","208V-11-1","Term. A. E. Carvalho",1,51368
"209C-10","USD","209C-10-0","Vila Madalena",0,53563
"209C-10","USD","209C-10-1","Metrô Santana",1,53564
"209P-10","USD","209P-10-0","Term. Pinheiros",0,54667
"209P-10","USD","209P-10-1","Cachoeirinha",1,54668
"2100-10","USD","2100-10-0","Pca. Da Sé",0,45803
"2100-10","USD","2100-10-1","Term. Vila Carrão",1,45818
"2101-10","USD","2101-10-0","Pça. Da Sé",0,52522
"2103-10","USD","2103-10-0","Pca. Do Correio",0,53885
"2103-10","USD","2103-10-1","Jd. Brasil",1,53886
"211V-10","USD","211V-10-0","Penha (circular)",0,52563
"2123-10","USD","2123-10-0","Metrô Liberdade",0,53453
"2123-10","USD","2123-10-1","Vila Medeiros",1,53454
"2127-10","USD","2127-10-0","Metrô Liberdade",0,53772
"213C-10","USD","213C-10-0","Vila California",0,55265
"213C-10","USD","213C-10-1","Itaim Paulista",1,54422
"213C-31","USD","213C-31-0","Vila California",0,55272
"213C-31","USD","213C-31-1","Itaim Paulista",1,52663
"2161-10","USD","2161-10-0","Praça Do Correio ",0,53775
"2161-10","USD","2161-10-1","Parque Edu Chaves",1,55364
"2171-10","USD","2171-10-0","Pq. D.pedro Ii",0,53713
"2175-10","USD","2175-10-0","Pça. Da Sé",0,53724
"2182-10","USD","2182-10-0","Praça Do Correio",0,54895
"2182-10","USD","2182-10-1","Jardim Brasil",1,55365
"2201-10","USD","2201-10-0","Guaianazes",0,52666
"2201-10","USD","2201-10-1","Divisa De Ferraz",1,52667
"2202-10","USD","2202-10-0","Guaianazes",0,52687
"2202-10","USD","2202-10-1","Hospital Itaim",1,52688
"2203-10","USD","2203-10-0","Shopping Penha",0,47703
"2203-10","USD","2203-10-1","Burgo Paulista",1,47704
"2290-10","USD","2290-10-0","Term. Pq. D. Pedro Ii",0,48135
"2290-10","USD","2290-10-1","Term. São Mateus",1,48136
"2291-10","USD","2291-10-0","Pça. Da República",0,46340
"233A-10","USD","233A-10-0","Ceret",0,55504
"233A-10","USD","233A-10-1","Jd. Helena",1,55505
"233C-10","USD","233C-10-0","Ceret",0,47600
"233C-10","USD","233C-10-1","Term. A.e. Carvalho",1,47601
"234A-10","USD","234A-10-0","Jd. Helena",0,52806
"234A-10","USD","234A-10-1","Term. A.e. Carvalho",1,52807
"2363-10","USD","2363-10-0","Terminal Pq. D. Pedro Ii",0,52243
"2363-10","USD","2363-10-1","Jd. Danfer",1,52244
"2435-51","USD","2435-51-0","Term. Amaral Gurgel",0,44612
"2435-51","USD","2435-51-1","Term. A. E. Carvalho",1,44613
"2451-10","USD","2451-10-0","Term. Aricanduva",0,52565
"2451-10","USD","2451-10-1","Vila Sao Francisco",1,52566
"2501-10","USD","2501-10-0","Metrô Carrão",0,52568
"2501-10","USD","2501-10-1","Ermelino Matarazzo",1,52569
"2522-10","USD","2522-10-0","Metrô Itaquera (circular)",0,55432
"2523-10","USD","2523-10-0","Term.princesa Isabel",0,46150
"2523-10","USD","2523-10-1","Vila Progresso",1,46151
"253F-10","USD","253F-10-0","Term. Sao Mateus",0,55273
"253F-10","USD","253F-10-1","Term. A.e. Carvalho",1,46343
"2551-10","USD","2551-10-0","Term. Pq. D.pedro Ii",0,45363
"2551-10","USD","2551-10-1","Term. A.e. Carvalho",1,45364
"2552-10","USD","2552-10-0","Term. Pq. D.pedro Ii",0,52834
"2552-10","USD","2552-10-1","Vila Mara",1,52835
"2582-10","USD","2582-10-0","Term. Pq. D.pedro Ii",0,54325
"2582-10","USD","2582-10-1","Vila Nova Curuca",1,54326
"2583-10","USD","2583-10-0","Term. Aricanduva",0,52572
"2583-10","USD","2583-10-1","Vila Curuca",1,52573
"2590-10","USD","2590-10-0","Pq. D. Pedro Ii",0,44607
"2590-10","USD","2590-10-1","Uniao De Vila Nova",1,44608
"2626-10","USD","2626-10-0","Term. Pq. D.pedro Ii",0,52838
"2626-10","USD","2626-10-1","Jd. Nazare",1,52839
"263C-10","USD","263C-10-0","Cohab Ii",0,52578
"263C-10","USD","263C-10-1","Jd. Helena",1,52579
"263J-10","USD","263J-10-0","Conj. Jose Bonifacio",0,55288
"263J-10","USD","263J-10-1","Penha",1,55289
"2666-10","USD","2666-10-0","Term. Pq. D.pedro Ii",0,52848
"2666-10","USD","2666-10-1","Jd. Camargo Velho",1,52849
"2666-51","USD","2666-51-0","Term. A. E. Carvalho",0,52582
"2666-51","USD","2666-51-1","Jd. Camargo Velho",1,52583
"2678-10","USD","2678-10-0","Term. Pq. D.pedro Ii",0,46572
"2678-10","USD","2678-10-1","Oliveirinha",1,46573
"2678-11","USD","2678-11-0","Oliveirinha (circular)",0,55449
"2702-10","USD","2702-10-0","Metrô Artur Alvim",0,53837
"2702-10","USD","2702-10-1","Vila Americana",1,52695
"2703-10","USD","2703-10-0","Metrô Itaquera",0,52918
"2703-10","USD","2703-10-1","Jd. Etelvina",1,53949
"2704-10","USD","2704-10-0","Metrô Itaquera",0,55330
"2704-10","USD","2704-10-1","Jd. Robru",1,52965
"2705-10","USD","2705-10-0","Metrô Itaquera",0,52962
"2705-10","USD","2705-10-1","Jd. Fanganielo",1,55377
"2706-10","USD","2706-10-0","Metrô Vila Matilde",0,44438
"2706-10","USD","2706-10-1","Cemiterio Da Saudade",1,44439
"2707-10","USD","2707-10-0","Metrô Itaquera",0,52730
"2707-10","USD","2707-10-1","Chabilandia",1,55378
"2708-10","USD","2708-10-0","Metrô Itaquera",0,55422
"2708-10","USD","2708-10-1","Jd. Lajeado",1,55379
"2709-10","USD","2709-10-0","Metrô Patriarca",0,55333
"2709-10","USD","2709-10-1","Vila Uniao",1,55334
"2709-31","USD","2709-31-0","Metrô Patriarca",0,55335
"2709-31","USD","2709-31-1","Vila Uniao",1,55336
"2710-10","USD","2710-10-0","Burgo Paulista",0,52732
"2711-10","USD","2711-10-0","Metrô Patriarca",0,52734
"2711-10","USD","2711-10-1","Ponte Rasa",1,52735
"2712-10","USD","2712-10-0","Shop. Metrô Itaquera (circular)",0,52736
"2713-10","USD","2713-10-0","Chacara Bela Vista",0,52403
"2714-10","USD","2714-10-0","Vila Rui Barbosa",0,53584
"2715-10","USD","2715-10-0","Metrô Patriarca",0,52737
"2715-10","USD","2715-10-1","Vila Silvia",1,52738
"2716-10","USD","2716-10-0","Metrô Penha",0,55517
"2716-10","USD","2716-10-1","Chac. Cruz. Do Sul",1,55518
"2717-10","USD","2717-10-0","Cangaíba",0,47984
"2718-10","USD","2718-10-0","Metrô Penha",0,55522
"2718-10","USD","2718-10-1","Vila Silvia",1,55523
"2719-10","USD","2719-10-0","Metrô Vila Matilde",0,47736
"2719-10","USD","2719-10-1","Ermelino Matarazzo",1,47737
"271A-10","USD","271A-10-0","Metrô Santana",0,53572
"271A-10","USD","271A-10-1","Term. Penha",1,53573
"271A-51","USD","271A-51-0","Metrô Santana",0,53576
